Island,SamplingYear,GridCode,TrapDate,NightNumber,TrapNumber,TrapResult,Pittag,CaptureType,Sex,AgeClass,Weight,Weight_units,BodyCondition,ReproductiveStatus,Vaccinations
SMI,2014,CC,2014-09-17T00:00:00Z,1,73,OPEN,NA,NA,NA,NA,NA,NA,NA,NA,NA
SMI,2014,CC,2014-09-17T00:00:00Z,1,74,OPEN,NA,NA,NA,NA,NA,NA,NA,NA,NA
SMI,2014,CC,2014-09-17T00:00:00Z,1,75,OPEN,NA,NA,NA,NA,NA,NA,NA,NA,NA
SMI,2014,CC,2014-09-17T00:00:00Z,1,76,FOX,485E224908,P,Male,4,2.36,kg,2,TD,NA
SMI,2014,CC,2014-09-17T00:00:00Z,1,77,FOX,484C1A2F21,P,Male,3,1.94,kg,2,TD,NA
SMI,2014,CC,2014-09-17T00:00:00Z,1,78,FOX,484C593840,P,Female,4,2.06,kg,2,"NA",NA
SMI,2014,CC,2014-09-17T00:00:00Z,1,79,FOX,989001000126191,P,Male,1,1.93,kg,2,TD,NA
SMI,2014,CC,2014-09-17T00:00:00Z,1,80,OPEN,NA,NA,NA,NA,NA,NA,NA,NA,NA
SMI,2014,CC,2014-09-17T00:00:00Z,1,81,FOX,4A68024417,P,Female,3,1.92,kg,2,"NA",NA
SMI,2014,CC,2014-09-17T00:00:00Z,1,82,OPEN,NA,NA,NA,NA,NA,NA,NA,NA,NA
SMI,2014,CC,2014-09-17T00:00:00Z,1,83,OPEN,NA,NA,NA,NA,NA,NA,NA,NA,NA
SMI,2014,CC,2014-09-17T00:00:00Z,1,84,FOX,4849640C2B,P,Male,4,1.93,kg,2,TD,NA
SMI,2014,CC,2014-09-17T00:00:00Z,1,85,OPEN,NA,NA,NA,NA,NA,NA,NA,NA,NA
SMI,2014,CC,2014-09-17T00:00:00Z,1,86,FOX,982000163664035,P,Female,2,2.09,kg,2,"NA",NA
SMI,2014,CC,2014-09-17T00:00:00Z,1,87,RC,NA,NA,NA,NA,NA,NA,NA,NA,NA
SMI,2014,CC,2014-09-17T00:00:00Z,1,88,FOX,4B08744036,P,Male,3,2.25,kg,3,TD,NA
SMI,2014,CC,2014-09-17T00:00:00Z,1,89,RO,NA,NA,NA,NA,NA,NA,NA,NA,NA
SMI,2014,CC,2014-09-17T00:00:00Z,1,90,FOX,989001000126205,N,Male,2,2,kg,3,TD,NA
